_id,word,hand[0][0],hand[0][1],hand[0][2],hand[0][3],hand[0][4],hand[0][5],hand[0][6],hand[0][7],hand[0][8],hand[0][9],hand[1][0],hand[1][1],hand[1][2],hand[1][3],hand[1][4],hand[1][5],hand[1][6],hand[1][7],hand[1][8],hand[1][9],hand[2][0],hand[2][1],hand[2][2],hand[2][3],hand[2][4],hand[2][5],hand[2][6],hand[2][7],hand[2][8],hand[2][9],hand[3][0],hand[3][1],hand[3][2],hand[3][3],hand[3][4],hand[3][5],hand[3][6],hand[3][7],hand[3][8],hand[3][9],hand[4][0],hand[4][1],hand[4][2],hand[4][3],hand[4][4],hand[4][5],hand[4][6],hand[4][7],hand[4][8],hand[4][9],hand[5][0],hand[5][1],hand[5][2],hand[5][3],hand[5][4],hand[5][5],hand[5][6],hand[5][7],hand[5][8],hand[5][9],hand[6][0],hand[6][1],hand[6][2],hand[6][3],hand[6][4],hand[6][5],hand[6][6],hand[6][7],hand[6][8],hand[6][9],hand[7][0],hand[7][1],hand[7][2],hand[7][3],hand[7][4],hand[7][5],hand[7][6],hand[7][7],hand[7][8],hand[7][9],hand[8][0],hand[8][1],hand[8][2],hand[8][3],hand[8][4],hand[8][5],hand[8][6],hand[8][7],hand[8][8],hand[8][9],hand[9][0],hand[9][1],hand[9][2],hand[9][3],hand[9][4],hand[9][5],hand[9][6],hand[9][7],hand[9][8],hand[9][9],hand[10][0],hand[10][1],hand[10][2],hand[10][3],hand[10][4],hand[10][5],hand[10][6],hand[10][7],hand[10][8],hand[10][9],hand[11][0],hand[11][1],hand[11][2],hand[11][3],hand[11][4],hand[11][5],hand[11][6],hand[11][7],hand[11][8],hand[11][9],hand[12][0],hand[12][1],hand[12][2],hand[12][3],hand[12][4],hand[12][5],hand[12][6],hand[12][7],hand[12][8],hand[12][9],hand[13][0],hand[13][1],hand[13][2],hand[13][3],hand[13][4],hand[13][5],hand[13][6],hand[13][7],hand[13][8],hand[13][9],hand[14][0],hand[14][1],hand[14][2],hand[14][3],hand[14][4],hand[14][5],hand[14][6],hand[14][7],hand[14][8],hand[14][9],hand[15][0],hand[15][1],hand[15][2],hand[15][3],hand[15][4],hand[15][5],hand[15][6],hand[15][7],hand[15][8],hand[15][9],hand[16][0],hand[16][1],hand[16][2],hand[16][3],hand[16][4],hand[16][5],hand[16][6],hand[16][7],hand[16][8],hand[16][9],hand[17][0],hand[17][1],hand[17][2],hand[17][3],hand[17][4],hand[17][5],hand[17][6],hand[17][7],hand[17][8],hand[17][9],hand[18][0],hand[18][1],hand[18][2],hand[18][3],hand[18][4],hand[18][5],hand[18][6],hand[18][7],hand[18][8],hand[18][9],hand[19][0],hand[19][1],hand[19][2],hand[19][3],hand[19][4],hand[19][5],hand[19][6],hand[19][7],hand[19][8],hand[19][9],hand[20][0],hand[20][1],hand[20][2],hand[20][3],hand[20][4],hand[20][5],hand[20][6],hand[20][7],hand[20][8],hand[20][9],hand[21][0],hand[21][1],hand[21][2],hand[21][3],hand[21][4],hand[21][5],hand[21][6],hand[21][7],hand[21][8],hand[21][9],hand[22][0],hand[22][1],hand[22][2],hand[22][3],hand[22][4],hand[22][5],hand[22][6],hand[22][7],hand[22][8],hand[22][9],hand[23][0],hand[23][1],hand[23][2],hand[23][3],hand[23][4],hand[23][5],hand[23][6],hand[23][7],hand[23][8],hand[23][9],hand[24][0],hand[24][1],hand[24][2],hand[24][3],hand[24][4],hand[24][5],hand[24][6],hand[24][7],hand[24][8],hand[24][9],hand[25][0],hand[25][1],hand[25][2],hand[25][3],hand[25][4],hand[25][5],hand[25][6],hand[25][7],hand[25][8],hand[25][9],hand[26][0],hand[26][1],hand[26][2],hand[26][3],hand[26][4],hand[26][5],hand[26][6],hand[26][7],hand[26][8],hand[26][9],hand[27][0],hand[27][1],hand[27][2],hand[27][3],hand[27][4],hand[27][5],hand[27][6],hand[27][7],hand[27][8],hand[27][9],hand[28][0],hand[28][1],hand[28][2],hand[28][3],hand[28][4],hand[28][5],hand[28][6],hand[28][7],hand[28][8],hand[28][9],hand[29][0],hand[29][1],hand[29][2],hand[29][3],hand[29][4],hand[29][5],hand[29][6],hand[29][7],hand[29][8],hand[29][9],hand[30][0],hand[30][1],hand[30][2],hand[30][3],hand[30][4],hand[30][5],hand[30][6],hand[30][7],hand[30][8],hand[30][9]
65060e503eca9be3ffebd8c4,a,458.5,961,364,990.5,462,1023,1023,1023,1023,1023,118.5,692.5,139,109,340.5,1023,1023,1023,1023,1023,50.5,297.5,43,55,326.5,1023,1023,1023,1023,1023,34,136.5,44.5,43.5,818.5,1023,1023,1023,1023,1023,30.5,113,46.5,39,1023,1023,1023,1023,1023,1023,31.5,111,47.5,31.5,1023,1023,1023,1023,1023,1023,32.5,109.5,47.5,32,1023,1023,1023,1023,1023,1023,37,113,48.5,43.5,1023,1023,1023,1023,1023,1023,57.5,156,76,123,1023,1023,1023,1023,1023,1023,272,678.5,701,460,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060e61387ab87b4cb85095,b,696,698,577,993,316,1023,1023,1023,1023,1023,348,486,270.5,1023,166.5,1023,1023,1023,1023,1023,505.5,511.5,678.5,1023,77.5,1023,1023,1023,1023,1023,406,387,639,974,64,1023,1023,1023,1023,1023,199,357,460,978,61.5,1023,1023,1023,1023,1023,213.5,358,500,1023,63,1023,1023,1023,1023,1023,265,385.5,499,1023,65,1023,1023,1023,1023,1023,402,409.5,522,1023,65.5,1023,1023,1023,1023,1023,493.5,418.5,477.5,1023,94.5,1023,1023,1023,1023,1023,810.5,753,773.5,1023,228,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060e73239d43a3cfb46ef8,c,1023,1023,1023,831.5,136.5,1023,1023,1023,1023,1023,1023,1023,1023,522.5,57.5,1023,1023,1023,1023,1023,1023,1023,504,381.5,72.5,1023,1023,1023,1023,1023,1023,985,309,424,107,1023,1023,1023,1023,1023,1023,1023,205,344,123.5,1023,1023,1023,1023,1023,925,1023,158,242,127,1023,1023,1023,1023,1023,884.5,894,130.5,192,145.5,1023,1023,1023,1023,1023,980,803,122.5,248,153.5,1023,1023,1023,1023,1023,1023,708.5,145.5,407,266.5,1023,1023,1023,1023,1023,1023,585.5,215.5,602,228.5,1023,1023,1023,1023,1023,1023,1023,536,585.5,367,1023,1023,1023,1023,1023,1023,1023,1023,1023,436,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060e8774e9f3b17dc20813,d,631,854,611,1023,1023,1023,1023,1023,1023,1023,150.5,406,104.5,575.5,1023,1023,1023,1023,1023,1023,40,136.5,47,579.5,815.5,1023,1023,1023,1023,1023,33,75,37,568.5,180.5,1023,1023,1023,1023,1023,29,69,34,574.5,111.5,1023,1023,1023,1023,1023,27.5,67,26.5,958.5,133,1023,1023,1023,1023,1023,27,64,23,1023,147.5,1023,1023,1023,1023,1023,28,62,20,1023,178.5,1023,1023,1023,1023,1023,28,60,20,1023,159,1023,1023,1023,1023,1023,28.5,61,23,1023,144.5,1023,1023,1023,1023,1023,30.5,68.5,41.5,987,612.5,1023,1023,1023,1023,1023,54,135,69,958,1023,1023,1023,1023,1023,1023,277.5,529,540.5,1023,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060e9a0f1b00578b46e30a,e,510.5,424.5,125.5,95,908.5,1023,1023,1023,1023,1023,58,147,42,53,115.5,1023,1023,1023,1023,1023,45.5,73,32,47,132.5,1023,1023,1023,1023,1023,38,64,28.5,36.5,103.5,1023,1023,1023,1023,1023,33,62,28,25.5,54,1023,1023,1023,1023,1023,33,59.5,27,26,48.5,1023,1023,1023,1023,1023,34,60,26.5,26.5,46,1023,1023,1023,1023,1023,35.5,59,26,27,39.5,1023,1023,1023,1023,1023,36,56.5,25,27.5,36,1023,1023,1023,1023,1023,38,57.5,27,28,65,1023,1023,1023,1023,1023,52.5,71,39,34,316,1023,1023,1023,1023,1023,190,204,76.5,65,451.5,1023,1023,1023,1023,1023,517,499,247.5,544.5,191,1023,1023,1023,1023,1023,728,745.5,625.5,867,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060eab3b7db5ce6bfd5571,f,972,1023,1023,712.5,757,1023,1023,1023,1023,1023,295,929.5,1023,222.5,204,1023,1023,1023,1023,1023,260.5,679.5,786.5,182.5,176.5,1023,1023,1023,1023,1023,205.5,553.5,441.5,157,188.5,1023,1023,1023,1023,1023,112.5,510,272.5,141,218.5,1023,1023,1023,1023,1023,188,547.5,232,145.5,241.5,1023,1023,1023,1023,1023,241.5,558,344,153.5,279.5,1023,1023,1023,1023,1023,274.5,613,663.5,161.5,373.5,1023,1023,1023,1023,1023,450,654.5,770.5,166,814.5,1023,1023,1023,1023,1023,944.5,671.5,745.5,284.5,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060f1d70c4a8afaaac3c7f,g,1023,783.5,643,1023,1023,1023,1023,1023,1023,1023,129.5,224.5,136.5,1023,1023,1023,1023,1023,1023,1023,41.5,178.5,86.5,815,622.5,1023,1023,1023,1023,1023,29.5,111,63.5,589.5,339,1023,1023,1023,1023,1023,30.5,98,58,678,142.5,1023,1023,1023,1023,1023,31.5,95.5,60,765.5,149.5,1023,1023,1023,1023,1023,32.5,94,64.5,866.5,144.5,1023,1023,1023,1023,1023,34,91,68,880.5,759,1023,1023,1023,1023,1023,43,105.5,88.5,1023,930,1023,1023,1023,1023,1023,99.5,172,248.5,1023,1023,1023,1023,1023,1023,1023,564,568.5,916.5,1023,1023,1023,1023,1023,1023,1023,725.5,464.5,595.5,1023,1023,1023,1023,1023,1023,1023,738,516.5,589.5,1023,1023,1023,1023,1023,1023,1023,734,728,796.5,1023,1023,1023,1023,1023,1023,1023,688.5,786.5,904,1023,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060f53bd9cd1f36c20f4f5,h,96,420,1023,770.5,1023,1023,1023,1023,1023,1023,37,353.5,1023,599,344,1023,1023,1023,1023,1023,34,311,1023,581,199,1023,1023,1023,1023,1023,34.5,277.5,1023,577.5,194.5,1023,1023,1023,1023,1023,33,268.5,1023,584.5,158.5,1023,1023,1023,1023,1023,34,262.5,1023,665,181,1023,1023,1023,1023,1023,35,260.5,1023,760.5,185,1023,1023,1023,1023,1023,38.5,241,1023,913,281,1023,1023,1023,1023,1023,50,248,1023,1023,1023,1023,1023,1023,1023,1023,427.5,313,1023,1023,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060fc7ec9412cb5ab50ec5,hello,1023,755,669,1023,1023,1023,1023,1023,1023,1023,1023,755.5,675.5,1023,1023,1023,1023,1023,1023,1023,1023,755.5,671,1023,1023,1023,1023,1023,1023,1023,1023,756.5,673,1023,1023,1023,1023,1023,1023,1023,1023,753.5,676,1023,1023,1023,1023,1023,1023,1023,1023,570,549,1023,685,1023,1023,1023,1023,1023,1023,358,408.5,284.5,496.5,1023,1023,1023,1023,1023,493,405,115.5,50,256,1023,1023,1023,1023,1023,251.5,377.5,63,41,509,1023,1023,1023,1023,1023,250.5,231.5,52.5,32,1023,1023,1023,1023,1023,1023,282.5,178.5,52,40,893,1023,1023,1023,1023,1023,685,158.5,89,81,708,1023,1023,1023,1023,1023,1023,724,638,577,642,1023,1023,1023,1023,1023,978,1023,1023,904,218,1023,1023,1023,1023,1023,1023,1023,907.5,1023,286.5,1023,1023,1023,1023,1023,1023,1023,1011,1023,290,1023,1023,1023,1023,1023,1023,1023,1023,1023,479.5,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650610624372a80e1238b6b8,yes,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,1023,1023,861.5,635.5,698.5,733.5,1023,1023,1023,0,1023,98.5,290.5,54.5,59,218.5,1023,1023,1023,0,1023,32,112.5,34.5,41,183.5,1023,1023,1023,0,1023,31,73,31.5,40.5,324,1023,1023,1023,1023,1023,31,65,35,43,558,1023,1023,1023,1023,1023,33.5,67,38,44.5,444.5,1023,1023,1023,1023,1023,32.5,67.5,36.5,47,244,1023,1023,1023,1023,1023,30.5,66,34.5,49,387,1023,1023,1023,1023,1023,31,65.5,35,48,606,1023,1023,1023,1023,1023,38,71.5,49.5,74.5,1023,1023,1023,1023,1023,1023,187,188,212,281.5,1023,1023,1023,1023,1023,1023,791.5,824,1023,811.5,1023,1023,1023,1023,1023,1023,583.5,856,984,1023,1023,1023,1023,1023,1023,1023,480.5,1023,1001,1023,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506119f504e56465975906b,no,899.5,1023,965,1023,532,1023,1023,1023,1023,1023,296.5,431,483,485.5,500.5,1023,1023,1023,1023,1023,119,602,567,671,919.5,1023,1023,1023,1023,1023,73.5,634,283.5,553.5,734.5,1023,1023,1023,1023,1023,83.5,643,884,548.5,919.5,1023,1023,1023,1023,1023,85,689.5,1023,604.5,1023,1023,1023,1023,1023,1023,88,887,584.5,569,1023,1023,1023,1023,1023,1023,76,850,414.5,576.5,1023,1023,1023,1023,1023,1023,358,947,1023,625.5,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650611ceab235cecc1902962,help,1023,857.5,900,725,1023,1023,1022,1023,1023,1023,129,519,157.5,113.5,1023,1023,1022,1023,1023,1023,51.5,293,57,66,1023,1023,1021.5,1023,1023,1023,41,156.5,46,52.5,1023,1023,1022.5,0,1023,1023,47.5,113.5,46,51,850,1023,1023,511.5,1023,1023,43,107.5,46,48,612.5,1023,1023,1023,1023,1023,40.5,101,46.5,42.5,551.5,1023,1023,1023,1023,1023,35,97.5,46,43,776,1023,1023,511.5,1023,1023,48,97,46,42.5,1023,1023,1023,1023,1023,1023,57,95.5,46.5,49,1023,1023,1023,511.5,1023,1023,62,95,73,122,1023,1023,1023,511.5,1023,1023,251,498.5,557,409,1023,1023,1023,1023,1023,1023,471,479,521,774.5,1023,1023,1023,1023,1023,1023,580,724.5,604,904,1023,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650612048594b1cf2ee7956c,please,947,1023,926.5,1023,531,1023,1023,1023,1023,1023,606,1023,898,992,455.5,1023,1023,1023,1023,1023,692,964,895,903,758,1023,1023,1023,1023,1023,630,1023,905.5,969,1023,1023,1023,1023,1023,1023,598,1023,1023,988.5,809.5,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
